House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
44,Moore Roads,Amanda,Bradley,27,Daughter,Single, ,"Scientist, product/process development",None,None
44,Moore Roads,Patricia,Bradley,24,Daughter,Single,Female,Occupational therapist,None,Christian
44,Moore Roads,Kirsty,Lambert,20,Daughter,Single,Female,University Student,None,Christian
44,Moore Roads,Diane,Lambert,17,Daughter,NA,Female,Student,None,NA
45,Moore Roads,Ricky,Dawson,35,Head,Single,Male,Unemployed,None,None
45,Moore Roads,Hilary,Dawson,3,Daughter,NA,Female,Child,None,NA
45,Moore Roads,Alison,James,58,Lodger,Single,Female,Food technologist,None,Christian
45,Moore Roads,Julian,Morris,60,Lodger,Divorced,Male,"Lecturer, further education",None,None
45,Moore Roads,Pauline,Morgan,46,Lodger,Single,Female,IT sales professional,None,Christian
45,Moore Roads,Clare,John,36,Lodger,Single,Female,Astronomer,None,None
45,Moore Roads,Olivia,Patterson,26,Lodger,Divorced,Female,"Conservator, furniture",None,Methodist
46,Moore Roads,Kate,Wilson,23,Head,Married,Female,Ranger/warden,None,None
46,Moore Roads,Alexander,Wilson,24,Husband,Married,Male,Restaurant manager,None,None
46,Moore Roads,Abbie,Wilson,4,Daughter,NA,Female,Child,None,NA
46,Moore Roads,Paul,Wilson,2,Son,NA,Male,Child,None,NA
46,Moore Roads,Max,Wilson,0,Son,NA,Male,Child,None,NA
47,Moore Roads,Janice,Dyer,76,Head,Married,Female,Retired Financial trader,None,None
47,Moore Roads,James,Dyer,81,Husband,Married,Male,Retired Insurance underwriter,None,None
47,Moore Roads,Laura,Dyer,42,Daughter,Single,Female,Structural engineer,None,None
47,Moore Roads,Damian,Dyer,36,Son,Divorced,Male,Metallurgist,None,None
47,Moore Roads,Dawn,Dyer,35,Daughter,Single,Female,Insurance underwriter,None,None
47,Moore Roads,Reece,Dyer,34,Son,Divorced,Male,Immunologist,None,None
47,Moore Roads,Carole,Dyer,31,Daughter,Divorced,Female,Information systems manager,None,None
47,Moore Roads,Trevor,Kelly,23,Son,Single,Male,Plant breeder/geneticist,None,None
47,Moore Roads,Garry,Kelly,22,Son,Single,Male,University Student,None,None
47,Moore Roads,Mandy,Kelly,16,Daughter,NA,Female,Student,None,NA
47,Moore Roads,Howard,Kelly,12,Son,NA,Male,Student,None,NA
47,Moore Roads,Liam,Kelly,9,Son,NA,Male,Student,None,NA
48,Moore Roads,Jasmine,Harris,44,Head,Divorced,Female,Unemployed,None,Catholic
48,Moore Roads,Emily,Harris,3,Daughter,NA,Female,Child,None,NA
48,Moore Roads,Marian,Harris,3,Daughter,NA,Female,Child,None,NA
48,Moore Roads,Matthew,Harris,3,Son,NA,Male,Child,None,NA
48,Moore Roads,Shannon,Harris,1,Daughter,NA,Female,Child,None,NA
49,Moore Roads,Sandra,Brookes,55,Head,Married,Female,Health service manager,None,Methodist
49,Moore Roads,Vincent,Brookes,57,Husband,Married,Male,Unemployed,None,None
49,Moore Roads,Alexandra,Brookes,22,Daughter,Single,Female,University Student,None,Methodist
49,Moore Roads,Yvonne,Brookes,21,Daughter,Single,Female,University Student,None,Methodist
49,Moore Roads,Victor,Brookes,7,Son,NA,Male,Student,None,NA
50,Moore Roads,Carolyn,Gill,42,Head,Married,Female,Sub,None,Muslim
50,Moore Roads,Barry,Gill,44,Husband,Married,Male,Land,None,Muslim
50,Moore Roads,Harriet,Gill,2,Daughter,NA,Female,Child,None,NA
50,Moore Roads,Kirsty,Smith,23,Lodger,Single,Female,Medical technical officer,None,None
51,Moore Roads,Paul,Hunt,40,Head,Single,Male,Unemployed,None,Christian
51,Moore Roads,Valerie,Hunt,7,Daughter,NA,Female,Student,None,NA
51,Moore Roads,Tina,Hunt,4,Daughter,NA,Fem,Child,None,NA
52,Moore Roads,Tracey,Riley,36,Head,Married,Female,Radio producer,None,Catholic
52,Moore Roads,Bradley,Riley,38,Husband,Married,Male,Horticultural therapist,None,None
52,Moore Roads,Jason,Riley,8,Son,NA,Male,Student,None,NA
52,Moore Roads,Leon,Riley,6,Son,NA,Male,Student,None,NA
52,Moore Roads,Gillian,Riley,2,Daughter,NA,Female,Child,None,NA
53,Moore Roads,Joyce,Hussain,57,Head,Married,Female,Travel agency manager,None,None
53,Moore Roads,Adrian,Hussain,59,Husband,Married,Male,Building control surveyor,None,None
53,Moore Roads,Karen,Hussain,31,Daughter,Divorced,Female,"Therapist, occupational",None,None
53,Moore Roads,Beth,Hussain,27,Daughter,Single,Female,Naval architect,None,None
53,Moore Roads,Keith,Hussain,25,Son,Single,Male,Pensions consultant,None,None
53,Moore Roads,Margaret,Hussain,23,Daughter,Divorced,Female,Environmental education officer,None,None
53,Moore Roads,Daniel,Hussain,20,Son,Divorced,Male,Consulting civil engineer,None,None
53,Moore Roads,Leon,Hussain,16,Son,NA,Male,Student,None,NA
53,Moore Roads,Rita,Hussain,12,Daughter,NA,Female,Student,None,NA
53,Moore Roads,Katy,Hussain,8,Daughter,NA,Female,Student,None,NA
53,Moore Roads,Sharon,Hussain,4,Daughter,NA,Female,Child,None,NA
53,Moore Roads,Colin,Hussain,0,Son,NA,Male,Child,None,NA
53,Moore Roads,Kevin,Parkinson,48,Lodger,Single,Male,"Production assistant, television",None,None
53,Moore Roads,Stacey,Rice,43,Lodger,Single,Female,"Engineer, civil (consulting)",None,Catholic
53,Moore Roads,John,Sutton,39,Lodger,Single,Male,Chiropodist,None,Christian
54,Moore Roads,Harriet,Marshall,30,Head,Single,Female,Unemployed,None,None
54,Moore Roads,Christian,Bennett,33,Partner,Single,Male,Event organiser,None,None
54,Moore Roads,Rebecca,Marshall,0,Daughter,NA,Female,Child,None,NA
54,Moore Roads,Brenda,Hurst,52,Lodger,Single,Female,Charity fundraiser,None,Methodist
54,Moore Roads,Julian,Davies,21,Sibling,Single,Male,University Student,None,None
54,Moore Roads,Janice,Harris,34,Lodger,Divorced,Female,Estate agent,None,Methodist
54,Moore Roads,Beth,Chapman,47,Lodger,Single,Female,Unemployed,None,None
54,Moore Roads,Judith,Kelly,36,Visitor,Single,Female,Best boy,None,None
54,Moore Roads,Christian,Marshall,44,Lodger,Single,Male,Advertising copywriter,None,Christian
54,Moore Roads,Nicole,Simmons,58,Lodger,Divorced,Female,Data processing manager,None,Christian
54,Moore Roads,Joanne,Marshall,40,Sibling,Single,Female,Petroleum engineer,None,None
55,Moore Roads,Georgina,Stewart,35,Head,Single,Female,Fashion designer,None,None
55,Moore Roads,Cameron,Goodwin,9,Son,NA,Male,Student,None,NA
55,Moore Roads,Daniel,Goodwin,9,Son,NA,Male,Student,None,NA
56,Moore Roads,Amy,McCarthy,58,Head,Married,Female,"Teacher, early years/pre",None,Christian
56,Moore Roads,Maurice,Marshall,60,Husband,Married,Male,Public relations account executive,None,Christian
56,Moore Roads,Clive,McCarthy,11,Grandson,NA,Male,Student,None,NA
56,Moore Roads,Anthony,Brookes,8,Grandson,NA,Male,Student,None,NA
56,Moore Roads,Luke,Brookes,6,Grandson,NA,Male,Student,None,NA
56,Moore Roads,Gail,Hall,38,Lodger,Single,Female,Lawyer,None,Christian
56,Moore Roads,Michael,Fraser,25,Lodger,Single,Male,Equities trader,None,None
56,Moore Roads,Simon,Hughes,62,Sibling,Single,Male,Amenity horticulturist,None,Christian
56,Moore Roads,Susan,Riley,21,Lodger,Single,Female,University Student,None,None
56,Moore Roads,Marion,Reynolds,19,Lodger,Single,Female,University Student,None,None
56,Moore Roads,Hollie,Harrison,64,Sibling,Single,Female,"Surveyor, land/geomatics",None,Christian
56,Moore Roads,Douglas,Hill,25,Visitor,Single,Male,Horticultural therapist,None,Catholic
57,Moore Roads,Sian,Johnson,46,Head,Single,Female,Hospital pharmacist,None,None
57,Moore Roads,Robert,Johnson,12,Son,NA,Male,Student,None,NA
57,Moore Roads,Abdul,Johnson,9,Son,NA,Male,Student,None,NA
57,Moore Roads,Kimberley,Johnson,6,Daughter,NA,Female,Student,None,NA
57,Moore Roads,Stephanie,Johnson,2,Daughter,NA,Female,Child,None,NA
58,Moore Roads,Terence,Kaur,36,Head,Divorced,Male,Unemployed,None,None
58,Moore Roads,Tracey,Kaur,4,Daughter,NA,Female,Child,None,NA
58,Moore Roads,Julian,Kaur,0,Son,NA,Male,Child,None,NA
58,Moore Roads,Mandy,Hancock,50,Sibling,Single,Female,Estate manager/land agent,None,Christian
58,Moore Roads,Tracey,Watkins,61,Lodger,Single,Female,"Designer, ceramics/pottery",None,None
59,Moore Roads,Rita,Dixon,65,Head,Married,Female,Occupational therapist,None,Christian
59,Moore Roads,Neil,Dixon,69,Husband,Married,Male,Retired Government social research officer,None,None
59,Moore Roads,Sharon,Dixon,45,Daughter,Divorced,Female,Outdoor activities/education manager,None,Christian
59,Moore Roads,Adrian,Dixon,45,Son,Single,Male,Contractor,None,None
59,Moore Roads,Beverley,Dixon,43,Daughter,Widowed,Female,"Designer, interior/spatial",None,None
59,Moore Roads,Samantha,Dixon,39,Daughter,Single,Female,Chief Financial Officer,None,Christian
59,Moore Roads,Damian,Dixon,38,Son,Single,Male,Engineering geologist,None,Christian
59,Moore Roads,Katherine,Dixon,37,Daughter,Single,Female,"Engineer, building services",None,Christian
59,Moore Roads,Dennis,Dixon,33,Son,Divorced,Male,"Production designer, theatre/television/film",None,None
59,Moore Roads,Annette,Dixon,29,Daughter,Divorced,Female,"Journalist, newspaper",None,Christian
59,Moore Roads,Georgina,Dixon,28,Daughter,Single,Female,"Engineer, manufacturing systems",None,Christian
59,Moore Roads,Elliot,Dixon,12,Son,NA,Male,Student,None,NA
60,Moore Roads,Linda,Wilson,66,Head,Divorced,Female,Unemployed,None,Methodist
60,Moore Roads,Jayne,Wilson,40,Daughter,Single,Female,"Administrator, local government",None,Methodist
60,Moore Roads,Bryan,Wilson,40,Son,Single,Male,Public relations account executive,None,Methodist
60,Moore Roads,Frances,Wilson,37,Daughter,Single,Female,Dentist,None,Methodist
60,Moore Roads,Natalie,Wilson,35,Daughter,Single,Female,Environmental manager,None,None
61,Moore Roads,Frances,Jordan,39,Head,Single,Female,Ship broker,None,None
61,Moore Roads,Guy,Hill,45,Partner,Single,Male,"Biochemist, clinical",None,None
61,Moore Roads,Dale,Jordan,7,Son,NA,Male,Student,None,NA
61,Moore Roads,Jay,Jordan,6,Son,NA,Male,Student,None,NA
61,Moore Roads,Toby,Jordan,2,Son,NA,Male,Child,None,NA
62,Moore Roads,Lynda,Barnett,45,Head,Married,Female,Freight forwarder,None,None
62,Moore Roads,Bernard,Barnett,51,Husband,Married,Male,Herpetologist,None,None
62,Moore Roads,Kerry,Barnett,22,Daughter,Single,Female,University Student,None,None
62,Moore Roads,Christopher,Barnett,20,Son,Single,Male,University Student,None,None
62,Moore Roads,Rita,Barnett,17,Daughter,NA,Female,Student,None,NA
62,Moore Roads,Terence,Barnett,13,Son,NA,Male,Student,None,NA
62,Moore Roads,Justin,Barnett,10,Son,NA,Male,Student,None,NA
62,Moore Roads,Martin,Barnett,10,Son,NA,Male,Student,None,NA
62,Moore Roads,Gordon,Barnett,8,Son,NA,Male,Student,None,NA
63,Moore Roads,Leah,Goodwin,74,Head,Married,Female,"Retired Scientist, marine",None,Christian
63,Moore Roads,Mathew,Goodwin,75,Husband,Married,Male,Retired Water engineer,None,Christian
63,Moore Roads,Valerie,Barry-Goodwin,36,Daughter,Divorced,Female,"Engineer, materials",None,None
63,Moore Roads,Jacob,Barry-Goodwin,34,Son,Single,Male,Operational researcher,None,Christian
63,Moore Roads,Donna,Barry-Goodwin,30,Daughter,Single,Female,Seismic interpreter,None,Christian
63,Moore Roads,Jamie,Barry-Goodwin,27,Son,Single,Male,Unemployed,None,Christian
63,Moore Roads,Julian,Barry-Goodwin,23,Son,Single,Male,Colour technologist,None,None
63,Moore Roads,Danny,Barry-Goodwin,13,Son,NA,Male,Student,None,NA
64,Moore Roads,Jessica,Morton,57,Head,Married,Female,Educational psychologist,None,Christian
64,Moore Roads,Duncan,Morton,59,Husband,Married,Male,Physiotherapist,None,Christian
64,Moore Roads,Sara,Morton,34,Daughter,Single,Female,"Engineer, broadcasting (operations)",None,Christian
64,Moore Roads,Jeffrey,Morton,33,Son,Single,Male,Operational researcher,None,Christian
64,Moore Roads,Luke,Morton,31,Son,Single,Male,Games developer,None,None
64,Moore Roads,Owen,Morton,27,Son,Single,Male,Structural engineer,None,Christian
64,Moore Roads,Kenneth,Morton,8,Son,NA,Male,Student,None,NA
65,Moore Roads,Kerry,Morley,60,Head,Single,Female,Chartered legal executive (England and Wales),None,Christian
65,Moore Roads,Timothy,Hall,37,None,Single,Male,Science writer,None,Christian
65,Moore Roads,Kieran,Green,45,None,Single,Male,Adult guidance worker,None,None
65,Moore Roads,Charles,White,50,None,Single,Male,"Editor, commissioning",None,Christian
65,Moore Roads,Brenda,Smith,24,None,Single,Female,Unemployed,None,None
66,Moore Roads,Christopher,Bibi,72,Head,Married,Male,Retired Television production assistant,None,Christian
66,Moore Roads,Danielle,Bibi,70,Wife,Married,Female,"Retired Engineer, electronics",None,Christian
66,Moore Roads,James,Bibi,35,Son,Single,Male,"Designer, fashion/clothing",None,None
66,Moore Roads,Lesley,Bibi,32,Daughter,Divorced,Female,"Research officer, government",None,None
66,Moore Roads,Garry,Bibi,29,Son,Divorced,Male,Financial risk analyst,None,Christian
66,Moore Roads,Hugh,Bibi,25,Son,Single,Male,"Research officer, trade union",None,Christian
66,Moore Roads,Anna,Bibi,25,Daughter,Single,Female,Training and development officer,None,None
66,Moore Roads,Max,Bibi,24,Son,Single,Male,Social worker,None,None
66,Moore Roads,Elliot,Black-Bibi,15,Son,NA,Male,Student,None,NA
66,Moore Roads,Ryan,Black-Bibi,13,Son,NA,Male,Student,None,NA
66,Moore Roads,Duncan,Black-Bibi,13,Son,NA,Male,Student,None,NA
66,Moore Roads,Anna,Black-Bibi,10,Daughter,NA,Female,Student,None,NA
66,Moore Roads,Jeffrey,Black-Bibi,3,Son,NA,Male,Child,None,NA
66,Moore Roads,Jayne,Black-Bibi,0,Daughter,NA,Female,Child,None,NA
66,Moore Roads,Lynn,Wright,53,Sibling,Divorced,Female,Fashion designer,None,Methodist
66,Moore Roads,Abbie,Lees,47,Sibling,Single,Female,Manufacturing engineer,None,None
66,Moore Roads,Louis,Newman,47,Lodger,Single,Male,Occupational therapist,None,Catholic
66,Moore Roads,Catherine,Cunningham,38,Lodger,Single,Female,"Programme researcher, broadcasting/film/video",None,Christian
66,Moore Roads,Conor,Rose,38,Lodger,Divorced,Male,Retail buyer,None,Catholic
67,Moore Roads,Katie,Bray,49,Head,Single,Female,Ceramics designer,None,Christian
67,Moore Roads,Julia,Bray,9,Daughter,NA,Female,Student,None,NA
67,Moore Roads,Sara,Bray,4,Daughter,NA,Female,Child,None,NA
67,Moore Roads,Tom,Bray,1,Son,NA,Male,Child,None,NA
68,Moore Roads,Marie,Lee,34,Head,Single,Female,Unemployed,None,None
68,Moore Roads,Cameron,Lee,3,Son, ,Male,Child,None,NA
68,Moore Roads,Georgina,Lee,1,Daughter,NA,Female,Child,None,NA
68,Moore Roads,Nigel,Curtis,41,Lodger,Single,Male,Dramatherapist,None,None
68,Moore Roads,Geoffrey,Parsons,44,Lodger,Single,Male,Facilities manager,None,None
69,Moore Roads,Barry,Hill,50,Head,Married,Male,Trading standards officer,None,None
69,Moore Roads,Beverley,Hill,52,Wife,Married,Female,Photographer,None,None
69,Moore Roads,Geraldine,Hill,18,Daughter,Single,Female,Student,None,None
69,Moore Roads,Stewart,Hill,18,Son,Single,Male,Student,None,None
69,Moore Roads,Hazel,Hill,14,Daughter,NA,Female,Student,None,NA
70,Moore Roads,Alexandra,Watson,48,Head,Married,Female,Environmental consultant,None,Christian
70,Moore Roads,Graham,Watson,49,Husband,Married,Male,"Teacher, music",None,None
70,Moore Roads,Luke,Wall-Watson,12,Son,NA,Male,Student,None,NA
70,Moore Roads,Conor,Wall-Watson,12,Son,NA,Male,Student,None,NA
70,Moore Roads,Jill,Wall-Watson,11,Daughter,NA,Female,Student,None,NA
70,Moore Roads,Graham,Wall-Watson,10,Son,NA,Male,Student,None,NA
70,Moore Roads,Frederick,Wall-Watson,10,Son,NA,Male,Student,None,NA
70,Moore Roads,Laura,Wall-Watson,4,Daughter,NA,Female,Child,None,NA
70,Moore Roads,George,Wall-Watson,1,Son,NA,Male,Child,None,NA
70,Moore Roads,Lynn,Wall-Watson,1,Daughter,NA,Female,Child,None,NA
70,Moore Roads,Sharon,Jackson,38,Lodger,Single,Female,Physiological scientist,None,Christian
70,Moore Roads,Douglas,Porter,60,Lodger,Single,Male,"Lighting technician, broadcasting/film/video",None,Christian
71,Moore Roads,Margaret,Reynolds,43,Head,Married,Female,"Designer, fashion/clothing",None,None
71,Moore Roads,Duncan,Reynolds,44,Husband,Married,Male,Insurance risk surveyor,None,None
71,Moore Roads,Bruce,Reynolds,15,Son,NA,Male,Student,None,NA
71,Moore Roads,Russell,Reynolds,12,Son,NA,Male,Student,None,NA
71,Moore Roads,Declan,Reynolds,12,Son,NA,Male,Student,None,NA
71,Moore Roads,Declan,Reynolds,10,Son,NA,Male,Student,None,NA
71,Moore Roads,Kimberley,Reynolds,6,Daughter,NA,Female,Student,None,NA
71,Moore Roads,Conor,Reynolds,5,Son,NA,Male,Student,None,NA
71,Moore Roads,Roger,Reynolds,1,Son,NA,Male,Child,None,NA
71,Moore Roads,Linda,Parry,22,Lodger,Single,Female,"Conservator, museum/gallery",None,Catholic
71,Moore Roads,Jenna,Butler,35,Lodger,Single,Female,Furniture conservator/restorer,None,None
72,Moore Roads,Amelia,Hobbs,52,Head,Married,Female,Health visitor,None,Christian
72,Moore Roads,Brandon,Hobbs,49,Husband,Married,Male,"Surveyor, commercial/residential",None,Christian
72,Moore Roads,Martyn,Hobbs,20,Son,Single,Male,Public house manager,None,None
72,Moore Roads,James,Hobbs,16,Son,NA,Male,Student,None,NA
72,Moore Roads,Lewis,Hobbs,9,Son,NA,Male,Student,None,NA
72,Moore Roads,Vanessa,Hobbs,7,Daughter,NA,Female,Student,None,NA
72,Moore Roads,Hugh,Hobbs,3,Son,NA,Male,Child,None,NA
72,Moore Roads,Alexandra,Jones,38,Lodger,Single,Female,Geographical information systems officer,None,Methodist
72,Moore Roads,Tony,Barnett,46,Lodger,Single,Male,Economist,None,Methodist
72,Moore Roads,Leanne,O'Brien,47,Lodger,Single,Female,"Nurse, children's",None,Catholic
72,Moore Roads,Mohamed,Andrews,63,Lodger,Single,Male,Radio broadcast assistant,None,Catholic
72,Moore Roads,Joseph,Kaur,37,Lodger,Divorced,Male,"Development worker, international aid",None,Catholic
73,Moore Roads,Benjamin,Jennings,34,Head,Married,Male,Chartered loss adjuster,None,Methodist
73,Moore Roads,Hannah,Jennings,34,Wife,Married,Female,Dramatherapist,None,None
73,Moore Roads,Natalie,Jennings,15,Daughter,NA,Female,Student,None,NA
73,Moore Roads,Mitchell,Jennings,12,Son,NA,Male,Student,None,NA
73,Moore Roads,Yvonne,Jennings,9,Daughter,NA,Female,Student,None,NA
74,Moore Roads,Graham,Baker,20,Head,Single,Male,University Student,None,Christian
74,Moore Roads,Frederick,Tucker,19,None,Single,Male,University Student,None,None
74,Moore Roads,Phillip,Hill,22,None,Single,Male,University Student,None,None
74,Moore Roads,Natalie,Harvey,20,None,Single,Female,University Student,None,None
74,Moore Roads,Lee,Brown,21,None,Single,Male,University Student,None,Catholic
74,Moore Roads,Alexander,Wilson,20,None,Single,Male,University Student,None,Catholic
74,Moore Roads,Jodie,Gray,20,None,Single,Female,University Student,None,Christian
75,Moore Roads,Leah,Pearson,40,Head,Married,Female,Multimedia specialist,None,None
75,Moore Roads,Charles,Pearson,41,Husband,Married,Male,Nutritional therapist,None,None
75,Moore Roads,Robin,Pearson,18,Son,Single,Male,Student,None,None
75,Moore Roads,Norman,Pearson,16,Son,NA,Male,Student,None,NA
